Index Name,Date,Open,High,Low,Close,Data_source,Published_date,Updated_date
NIFTY SME EMERGE,16-Jul-19,NA,NA,NA,1463.72,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,15-Jul-19,NA,NA,NA,1449.94,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,12-Jul-19,NA,NA,NA,1454.94,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,11-Jul-19,NA,NA,NA,1452.68,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,10-Jul-19,NA,NA,NA,1456.1,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,09-Jul-19,NA,NA,NA,1460.7,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,08-Jul-19,NA,NA,NA,1453.73,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,05-Jul-19,NA,NA,NA,1472.61,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,04-Jul-19,NA,NA,NA,1479.34,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,03-Jul-19,NA,NA,NA,1482.97,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,02-Jul-19,NA,NA,NA,1480.18,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,01-Jul-19,NA,NA,NA,1470.11,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,28-Jun-19,NA,NA,NA,1467.08,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,27-Jun-19,NA,NA,NA,1458.84,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,26-Jun-19,NA,NA,NA,1459.33,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,25-Jun-19,NA,NA,NA,1465.83,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,24-Jun-19,NA,NA,NA,1461.75,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,21-Jun-19,NA,NA,NA,1463.68,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,20-Jun-19,NA,NA,NA,1464.72,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,19-Jun-19,NA,NA,NA,1467.83,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,18-Jun-19,NA,NA,NA,1480.44,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,17-Jun-19,NA,NA,NA,1488.87,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,14-Jun-19,NA,NA,NA,1495.37,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,13-Jun-19,NA,NA,NA,1494.32,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,12-Jun-19,NA,NA,NA,1505.3,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,11-Jun-19,NA,NA,NA,1511.11,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,10-Jun-19,NA,NA,NA,1507.48,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,07-Jun-19,NA,NA,NA,1505.34,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,06-Jun-19,NA,NA,NA,1508.94,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,04-Jun-19,NA,NA,NA,1507.64,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,03-Jun-19,NA,NA,NA,1512.74,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,31-May-19,NA,NA,NA,1506.75,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,30-May-19,NA,NA,NA,1502.75,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,29-May-19,NA,NA,NA,1501.31,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,28-May-19,NA,NA,NA,1504.97,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,27-May-19,NA,NA,NA,1499.69,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,24-May-19,NA,NA,NA,1482.45,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,23-May-19,NA,NA,NA,1477.43,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,22-May-19,NA,NA,NA,1479.56,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,21-May-19,NA,NA,NA,1489.68,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,20-May-19,NA,NA,NA,1490,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,17-May-19,NA,NA,NA,1477.19,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,16-May-19,NA,NA,NA,1481.9,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,15-May-19,NA,NA,NA,1481.47,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,14-May-19,NA,NA,NA,1489.63,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,13-May-19,NA,NA,NA,1491.37,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,10-May-19,NA,NA,NA,1503.54,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,09-May-19,NA,NA,NA,1502.6,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,08-May-19,NA,NA,NA,1496.28,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,07-May-19,NA,NA,NA,1501.02,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,06-May-19,NA,NA,NA,1501.65,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,03-May-19,NA,NA,NA,1508.52,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,02-May-19,NA,NA,NA,1508.35,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,30-Apr-19,NA,NA,NA,1507.13,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,26-Apr-19,NA,NA,NA,1522.97,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,25-Apr-19,NA,NA,NA,1521.29,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,24-Apr-19,NA,NA,NA,1523.97,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,23-Apr-19,NA,NA,NA,1523.67,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,22-Apr-19,NA,NA,NA,1528.11,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,18-Apr-19,NA,NA,NA,1533.52,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,16-Apr-19,NA,NA,NA,1540.72,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,15-Apr-19,NA,NA,NA,1531.92,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,12-Apr-19,NA,NA,NA,1532.02,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,11-Apr-19,NA,NA,NA,1536.78,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,10-Apr-19,NA,NA,NA,1530.88,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,09-Apr-19,NA,NA,NA,1528.57,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,08-Apr-19,NA,NA,NA,1526.14,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,05-Apr-19,NA,NA,NA,1541.92,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,04-Apr-19,NA,NA,NA,1537.41,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,03-Apr-19,NA,NA,NA,1526.51,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,02-Apr-19,NA,NA,NA,1521.89,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,01-Apr-19,NA,NA,NA,1518,NSE Indices,2016-2025,19-04-2025
